date,sma_10,bollinger_upper_10,bollinger_lower_10,atr_10,cci_10,obv,vwma_10,vr_10,ema_10,stochastic_k_10,stochastic_d_3,rsi,macd,disparity,1d_after_price,5d_after_price
20190102,26490.5,26821.11912,26159.88088,595,26385,4795980,26505.13128,1.208642643,26490.5,0.210084034,0.647342995,38.03680982,#REF!,-0.006166534,DOWN,UP
20190103,26426,26840.26562,26011.73438,725,26256.66667,-853275,26452.15645,0.8340532,26478.77273,0,0.333333333,34.63687151,#REF!,-0.014247281,UP,UP
20190104,26391,26811.47116,25970.52884,725,26323.33333,9428200,26414.06069,1.261996648,26462.81405,0.275862069,0.261437908,35.53719008,#REF!,-0.003080316,UP,UP
20190107,26376,26754.17456,25997.82544,575,26398.33333,15128524,26389.12659,1.167042423,26447.02968,1,0.594771242,52.17391304,#REF!,0.010642341,DOWN,UP
20190108,26367,26736.65389,25997.34611,575,26340,10457960,26375.44411,1.359031026,26432.47883,0.695652174,0.77254902,48.45605701,#REF!,0.003075871,UP,UP
20190109,26415,26927.81576,25902.18424,945,26645,15721381,26404.52195,2.20618662,26429.30086,1,0.844444444,58.90151515,#REF!,0.025056082,DOWN,UP
20190110,26461,27066.60383,25855.39617,945,26641.66667,9796668,26436.94564,1.227957695,26435.06434,0.989417989,0.838328236,67.46203905,#REF!,0.019327509,UP,UP
20190111,26558,27236.42759,25879.57241,1100,26748.33333,14850830,26526.9208,1.868765884,26457.41628,1,0.993883792,65.03496503,#REF!,0.018365507,DOWN,UP
20190114,26599,27300.36724,25897.63276,1100,26670,11304458,26558.54489,1.246060216,26483.15877,0.786363636,0.660550459,56.60792952,#REF!,0.002760576,UP,UP
20190115,26683,27539.24996,25826.75004,1405,26951.66667,16049181,26630.34493,1.262628684,26519.49354,1,0.666666667,73,#REF!,0.020696843,UP,UP
20190116,26810,27755.62149,25864.37851,1525,27031.66667,22646345,26764.92718,1.901947935,26572.3129,1,0.666666667,82.2410148,#REF!,0.017550342,UP,UP
20190117,26968.5,27857.62373,26079.37627,1385,27138.33333,27492057,26911.19687,3.004386617,26644.34692,1,1,81.12359551,#REF!,0.01541518,UP,UP
20190118,27128,27991.0898,26264.9102,1395,27345,33157194,27146.71376,2.677950994,26732.28384,1,1,79.61165049,#REF!,0.018271026,UP,UP
20190121,27251.5,28124.69013,26378.30987,1410,27355,38901439,27282.52255,2.681056785,26826.68678,1,1,87.10526316,#REF!,0.013661202,DOWN,UP
20190122,27378.5,28080.79695,26676.20305,945,27463.33333,33753709,27399.08967,2.593545646,26927.01645,0.851851852,0.666666667,74.24749164,#REF!,0.001664315,UP,UP
20190123,27467,28159.01445,26774.98555,965,27523.33333,37772838,27479.09275,2.508429856,27025.19528,1,0.666666667,77.20364742,#REF!,0.005525061,UP,UP
20190124,27579.5,28264.48832,26894.51168,1195,27676.66667,43531252,27607.53261,4.880168878,27125.97796,1,0.666666667,78.07017544,#REF!,0.011602349,UP,UP
20190125,27726.5,28563.68636,26889.31364,1705,28016.66667,50662522,27785.35106,5.119078888,27235.16378,1,1,92.94710327,#REF!,0.026465096,DOWN,UP
20190128,27895.5,28660.09728,27130.90272,1165,28191.66667,43188280,27944.21195,3.526057101,27355.22491,0.987124464,0.990196078,89.38356164,#REF!,0.020247831,UP,UP
20190129,28024,28854.80443,27193.19557,1165,28316.66667,48620381,28058.71341,3.580515945,27476.82038,1,0.990196078,89.49152542,#REF!,0.019643365,UP,DOWN
20190130,28175.5,29139.81789,27211.18211,1455,28570,57014480,28256.40766,3.722881575,27603.85304,1,0.990196078,91.21813031,#REF!,0.024650868,DOWN,DOWN
20190131,28318,29320.42905,27315.57095,1370,28588.33333,49702046,28398.17978,2.114153539,27733.69794,0.97810219,0.971428571,88.32807571,#REF!,0.014931114,DOWN,DOWN
20190201,28436.5,29450.79828,27422.20172,1370,28578.33333,41830598,28523.09142,1.311927265,27861.48014,0.95620438,0.638095238,86.5625,#REF!,0.007190496,DOWN,DOWN
20190207,28553.5,29527.79,27579.21,1370,28578.33333,41830598,28625.70953,1.105343249,27987.30193,0.95620438,0.304761905,94.8630137,#REF!,0.004329754,DOWN,UP
